"Ad name",Day,"Campaign name","Result type",Results,"Cost per result","Amount spent (INR)","Mobile app installs",CPI,Install2Activation%,"Link clicks",Impressions,"3-second video plays","Reporting starts","Reporting ends"
,,,mixed,,,25913775.69,776705,33.36372972,0.37663592,2274039,273666497,90257007,2026-05-29,2026-06-24
New_UGC_1,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,5,289.808,1449.04,32,45.2825,0.53125,48,13322,2008,2026-05-29,2026-05-29
CR_manjunath_krpet_Ln_Rej_Pad_22/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,14,912.98428571,12781.78,656,19.48442073,0.27591463,1251,178611,88518,2026-05-29,2026-05-29
CR_Pranay_LowScoreReject_UGC_23/03/26,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,14,502.58285714,7036.16,167,42.13269461,0.34131737,397,68078,10793,2026-05-29,2026-05-29
"CR_Brand_Ln_Rej_UGC_24/04/26_01 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,21,516.25142857,10841.28,306,35.42901961,0.33333333,747,66896,35015,2026-05-29,2026-05-29
"CR_Pranay_LowScoreReject_UGC_23/03/26_05 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,,,,46.36,1,46.36,0,1,338,77,2026-05-29,2026-05-29
"CR_Brand_Ln_Rej_UGC_24/04/26_01 – Copy",2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,908.13,908.13,24,37.83875,0.29166667,58,5827,2975,2026-05-29,2026-05-29
"CR_ gwalior_wale__Ln_Rej_UGC_22/05/26 – Copy",2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,2,0,0,9,0,0.44444444,,0,,2026-05-29,2026-05-29
"CR_hum2noyaarofficial_HighEMI_UGC_22/05/26 – Copy",2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,3,0,0,29,0,0.34482759,,0,,2026-05-29,2026-05-29
"CR_ gwalior_wale__Ln_Rej_UGC_22/05/26",2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,0,1,0,1,,0,,2026-05-29,2026-05-29
CR_taju_branded_Ln_Rej_Pad_22/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,0,0,2,0,0.5,,0,,2026-05-29,2026-05-29
IN_AI-gen_Vikram-Betal_Loan-Management_21/05/26,2026-05-29,fb_app-adr_abo_india_subscribe_test_broad_14may2026,Subscription_Payment_Success,4,802.9075,3211.63,105,30.58695238,0.36190476,306,22499,8387,2026-05-29,2026-05-29
CR_Brand_Ln_Rej_UGC_24/04/26_01,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,299.205,598.41,18,33.245,0.27777778,35,4011,1960,2026-05-29,2026-05-29
IN_AI-gen_Aladin-Credit-Score-Improvement_21/05/26,2026-05-29,fb_app-adr_abo_india_subscribe_test_broad_14may2026,,,,0.08,,,,,2,1,2026-05-29,2026-05-29
IN_AI-gen_Credit-Traps_21/05/26,2026-05-29,fb_app-adr_abo_india_subscribe_test_broad_14may2026,,,,2.23,,,,,22,7,2026-05-29,2026-05-29
IN_AI-gen_Aaloo-Home-Loan-Rejection_21/05/26,2026-05-29,fb_app-adr_abo_india_subscribe_test_broad_14may2026,,,,270.34,8,33.7925,0.375,39,1721,697,2026-05-29,2026-05-29
CR_chill.vlog24_Ln_Rej_Pad_21/05/26,2026-05-29,fb_app-adr_abo_malayalam_subscribe_bau_broad_15may2026,Subscription_Payment_Success,4,128.575,514.3,25,20.572,0.32,32,3984,2305,2026-05-29,2026-05-29
CR_akasshhh_98_Ln_Rej_Pad_21/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,0,0,8,0,1,,0,,2026-05-29,2026-05-29
CR_mude_ashok_ashu_Enquiry_Pad_21/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,,,,0,2,0,0,,0,,2026-05-29,2026-05-29
IN_St_Ln_Rej_tpt_28/04/26_03,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,469.36,938.72,9,104.30222222,0.88888889,24,5704,12,2026-05-29,2026-05-29
IN_St_Ln_Mng_HighEMI_tpt_28/04/26_05,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,1105.315,2210.63,45,49.12511111,0.51111111,104,17148,23,2026-05-29,2026-05-29
IN_St_Dispute_tpt_28/04/26_02,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,,,,910.5,6,151.75,0.33333333,56,12025,83,2026-05-29,2026-05-29
CR_Pranay_LowScoreReject_UGC_23/03/26,2026-05-29,fb_app-adr_cbo_gmb_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,599.87,599.87,18,33.32611111,0.33333333,30,6945,953,2026-05-29,2026-05-29
"IN_AI-gen_Aaloo-Home-Loan-Rejection_21/05/26 – Copy",2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,0,1,0,0,,0,,2026-05-29,2026-05-29
CR_arjunadhibro_ScoreImprove_Pad_21/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,0,0,2,0,1.5,,0,,2026-05-29,2026-05-29
CR_comedy_club_rm_Ln_Rej_Pad_22/05/26,2026-05-29,fb_app-adr_cbo_telugu_subscribe_bau_broad_15may2026,,,,0,1,0,0,,0,,2026-05-29,2026-05-29
"IN_AI-gen_Melody_Loan-Rejection_23/05/26 - Copy",2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,,,,2266.64,29,78.16,0.24137931,119,14716,4780,2026-05-29,2026-05-29
"CR_manjunath_krpet_Ln_Rej_Pad_22/05/26 – Copy",2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,1,0,0,3,0,1.66666667,,0,,2026-05-29,2026-05-29
CR_sandeepsm_2_Ln_Rej_Pad_22/05/26,2026-05-29,fb_app-adr_cbo_ttmk_subscribe_bau_broad_14may2026,Subscription_Payment_Success,2,257.74,515.48,28,18.41,0.35714286,46,4339,2597,2026-05-29,2026-05-29
CR_auto_payyan_ScoreImprove_Pad_23/05/26,2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,Subscription_Payment_Success,2,0,0,23,0,0.34782609,,0,,2026-05-29,2026-05-29
CR_mr_shyamx_ScoreImprove_Pad_23/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,3.1,1,3.1,0,,29,14,2026-05-29,2026-05-29
CR_has.lijiye_Ln_Rej_Pad_23/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,5,0,0,18,0,0.83333333,,0,,2026-05-29,2026-05-29
IN_AI-gen_Dog-Meme_Loan-Rejection_23/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,0.27,,,,,2,,2026-05-29,2026-05-29
IN_AI-gen_Melody_Loan-Rejection_23/05/26,2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,9.71,9.71,2,4.855,0.5,,50,16,2026-05-29,2026-05-29
"Celeb_Sushant_Ln_Rej_SC5H1_08/05/26 – Copy",2026-05-29,fb_app-adr_abo_hindi_subscribe_bau_broad_01apr2026,,,,20.19,,,,2,179,49,2026-05-29,2026-05-29
CR_sandeepsm_2_Ln_Rej_Pad_22/05/26,2026-05-29,fb_app-adr_abo_kannada_subscribe_bau_broad_15may2026,Subscription_Payment_Success,1,0,0,3,0,0.66666667,,0,,2026-05-29,2026-05-29
"IN_AI-gen_Aaloo-Home-Loan-Rejection_21/05/26 – Copy",2026-05-29,fb_app-adr_cbo_hindi_subscribe_bau_broad_01apr2026,Subscription_Payment_Success,1,0,0,8,0,0.5,,0,,2026-05-29,2026-05-29
"CR_ kd_ponnu_tamil_302__Ln_Rej_Pad_22/05/26",2026-05-29,fb_app-adr_abo_tamil_subscribe_bau_broad_15may2026,,,,24.55,,,,,506,189,2026-05-29,2026-05-29
